Ngày dự đoán,Giá dự đoán
"Thứ Bảy, 13/09/2025 (Cuối tuần)",65.60 VND
"Chủ Nhật, 14/09/2025 (Cuối tuần)",65.60 VND
"Thứ Hai, 15/09/2025",65.80 VND
"Thứ Ba, 16/09/2025",65.73 VND
"Thứ Tư, 17/09/2025",65.66 VND
"Thứ Năm, 18/09/2025",65.60 VND
"Thứ Sáu, 19/09/2025",65.53 VND
"Thứ Bảy, 20/09/2025 (Cuối tuần)",65.53 VND
"Chủ Nhật, 21/09/2025 (Cuối tuần)",65.53 VND
"Thứ Hai, 22/09/2025",65.36 VND
"Thứ Ba, 23/09/2025",65.31 VND
"Thứ Tư, 24/09/2025",65.25 VND
"Thứ Năm, 25/09/2025",65.20 VND
"Thứ Sáu, 26/09/2025",65.14 VND
"Thứ Bảy, 27/09/2025 (Cuối tuần)",65.14 VND
"Chủ Nhật, 28/09/2025 (Cuối tuần)",65.14 VND
"Thứ Hai, 29/09/2025",65.00 VND
"Thứ Ba, 30/09/2025",64.95 VND
"Thứ Tư, 01/10/2025",64.90 VND
"Thứ Năm, 02/10/2025",64.85 VND
"Thứ Sáu, 03/10/2025",64.80 VND
"Thứ Bảy, 04/10/2025 (Cuối tuần)",64.80 VND
"Chủ Nhật, 05/10/2025 (Cuối tuần)",64.80 VND
"Thứ Hai, 06/10/2025",64.66 VND
"Thứ Ba, 07/10/2025",64.61 VND
"Thứ Tư, 08/10/2025",64.56 VND
"Thứ Năm, 09/10/2025",64.51 VND
"Thứ Sáu, 10/10/2025",64.47 VND
"Thứ Bảy, 11/10/2025 (Cuối tuần)",64.47 VND
"Chủ Nhật, 12/10/2025 (Cuối tuần)",64.47 VND
"Thứ Hai, 13/10/2025",64.33 VND
"Thứ Ba, 14/10/2025",64.29 VND
"Thứ Tư, 15/10/2025",64.25 VND
"Thứ Năm, 16/10/2025",64.21 VND
"Thứ Sáu, 17/10/2025",64.17 VND
"Thứ Bảy, 18/10/2025 (Cuối tuần)",64.17 VND
"Chủ Nhật, 19/10/2025 (Cuối tuần)",64.17 VND
"Thứ Hai, 20/10/2025",64.04 VND
"Thứ Ba, 21/10/2025",64.00 VND
"Thứ Tư, 22/10/2025",63.96 VND
"Thứ Năm, 23/10/2025",63.92 VND
"Thứ Sáu, 24/10/2025",63.88 VND
"Thứ Bảy, 25/10/2025 (Cuối tuần)",63.88 VND
"Chủ Nhật, 26/10/2025 (Cuối tuần)",63.88 VND
"Thứ Hai, 27/10/2025",63.76 VND
"Thứ Ba, 28/10/2025",63.71 VND
"Thứ Tư, 29/10/2025",63.67 VND
"Thứ Năm, 30/10/2025",63.63 VND
"Thứ Sáu, 31/10/2025",63.59 VND
"Thứ Bảy, 01/11/2025 (Cuối tuần)",63.59 VND
"Chủ Nhật, 02/11/2025 (Cuối tuần)",63.59 VND
"Thứ Hai, 03/11/2025",63.47 VND
"Thứ Ba, 04/11/2025",63.43 VND
"Thứ Tư, 05/11/2025",63.39 VND
"Thứ Năm, 06/11/2025",63.35 VND
"Thứ Sáu, 07/11/2025",63.30 VND
"Thứ Bảy, 08/11/2025 (Cuối tuần)",63.30 VND
"Chủ Nhật, 09/11/2025 (Cuối tuần)",63.30 VND
"Thứ Hai, 10/11/2025",63.18 VND
"Thứ Ba, 11/11/2025",63.14 VND
"Thứ Tư, 12/11/2025",63.10 VND
"Thứ Năm, 13/11/2025",63.06 VND
"Thứ Sáu, 14/11/2025",63.02 VND
"Thứ Bảy, 15/11/2025 (Cuối tuần)",63.02 VND
"Chủ Nhật, 16/11/2025 (Cuối tuần)",63.02 VND
"Thứ Hai, 17/11/2025",62.89 VND
"Thứ Ba, 18/11/2025",62.85 VND
"Thứ Tư, 19/11/2025",62.81 VND
"Thứ Năm, 20/11/2025",62.77 VND
"Thứ Sáu, 21/11/2025",62.73 VND
"Thứ Bảy, 22/11/2025 (Cuối tuần)",62.73 VND
"Chủ Nhật, 23/11/2025 (Cuối tuần)",62.73 VND
"Thứ Hai, 24/11/2025",62.61 VND
"Thứ Ba, 25/11/2025",62.57 VND
"Thứ Tư, 26/11/2025",62.53 VND
"Thứ Năm, 27/11/2025",62.48 VND
"Thứ Sáu, 28/11/2025",62.44 VND
"Thứ Bảy, 29/11/2025 (Cuối tuần)",62.44 VND
"Chủ Nhật, 30/11/2025 (Cuối tuần)",62.44 VND
"Thứ Hai, 01/12/2025",62.32 VND
"Thứ Ba, 02/12/2025",62.28 VND
"Thứ Tư, 03/12/2025",62.24 VND
"Thứ Năm, 04/12/2025",62.20 VND
"Thứ Sáu, 05/12/2025",62.16 VND
"Thứ Bảy, 06/12/2025 (Cuối tuần)",62.16 VND
"Chủ Nhật, 07/12/2025 (Cuối tuần)",62.16 VND
"Thứ Hai, 08/12/2025",62.03 VND
"Thứ Ba, 09/12/2025",61.99 VND
"Thứ Tư, 10/12/2025",61.95 VND
"Thứ Năm, 11/12/2025",61.91 VND
